hr,proper,dist,mag,absmag,spect,ci,rarad,decrad,con
5484,N/A,152.4390,5.700,-0.215,B9.5V,"rgb(212, 202, 0)",3.8537999134905405,-0.43629309688131124,Lib
5490,N/A,215.9827,4.800,-1.872,M3III,"rgb(255, 2, 137)",3.854658850222291,0.46299832941444125,Boo
5485,N/A,64.2261,4.060,0.021,K3III,"rgb(255, 197, 170)",3.8556830542764637,-0.6138960929160537,Cen
5493,N/A,209.6436,5.720,-0.887,K4III,"rgb(255, 196, 167)",3.8560458475559596,0.7061471919366851,Boo
5486,N/A,102.9866,6.100,1.036,K0III,"rgb(255, 208, 196)",3.861215151472897,-1.0206247724471489,Cir
5489,N/A,65.7030,4.920,0.832,A0V,"rgb(213, 202, 0)",3.8614828549088185,-0.6142132261150238,Cen
5505,Izar,62.1118,2.350,-1.616,A0,"rgb(255, 209, 200)",3.8614843383663695,0.47253432342394,Boo
5488,N/A,352.1127,6.100,-1.633,B2III,"rgb(196, 191, 0)",3.8623381685348552,-0.97043169149164,Cir
5496,N/A,289.0173,6.060,-1.245,M1III,"rgb(255, 0, 151)",3.8623923284454915,-0.02474054811904875,Vir
5510,N/A,248.1390,6.270,-0.703,M1III,"rgb(255, 0, 151)",3.862537780621204,0.5722645869333838,Boo
5502,N/A,74.5156,4.600,0.239,K0III,"rgb(255, 209, 199)",3.8625926488217353,0.29608253566952747,Boo
5482,N/A,48.4496,5.360,1.934,A7Vn,"rgb(245, 221, 0)",3.8627981606648807,-1.0973870751189625,Cir
5507,N/A,178.2531,6.150,-0.105,K0,"rgb(255, 213, 211)",3.8630376442444967,0.32960465324586125,Boo
5501,N/A,151.2859,5.680,-0.219,B9.5V,"rgb(205, 198, 0)",3.8637375545152977,0.012518736024123749,Vir
5503,N/A,444.4444,6.330,-1.909,K2III,"rgb(255, 202, 181)",3.8657411626658686,-0.2698198852776662,Lib
5497,N/A,30.2847,5.150,2.744,F0V + G/K,"rgb(245, 221, 0)",3.865910790188647,-0.4440672738799587,Hya
5512,N/A,247.5248,5.780,-1.188,M5III,"rgb(255, 198, 171)",3.866336812228767,0.26409951945646504,Boo
