hr,proper,ra,dec,dist,mag,absmag,spect,ci,con
5379,NaN,14.418426,-68.195333,621.1180,5.560,-3.406,A3Ib,0.435,Cir
5404,NaN,14.419967,51.850744,14.5307,4.040,3.229,F7V,0.497,Boo
5402,NaN,14.424764,38.393053,172.4138,6.280,0.097,K2III:,1.225,Boo
5397,NaN,14.424970,-19.969985,127.8772,6.630,1.096,A1/A2V,0.136,Lib
5382,NaN,14.427716,-66.172922,132.6260,6.360,0.747,A1V,0.128,Cir
5399,NaN,14.429936,-26.852241,71.7875,6.480,2.200,K0III,0.941,Hya
5395,NaN,14.435619,-45.221424,334.4482,4.560,-3.062,B2IV,-0.147,Lup
5396,NaN,14.436336,-45.379276,97.8474,4.330,-0.623,A7:+...,0.434,Lup
5398,NaN,14.437074,-42.318597,98.1354,6.330,1.371,K3III,1.215,Cen
5405,NaN,14.440935,19.226900,89.1266,5.400,0.650,F0m,0.231,Boo
5400,NaN,14.447188,-39.873989,147.2754,6.360,0.519,B9V,-0.088,Cen
5339,NaN,14.448801,-83.667884,91.6590,4.310,-0.501,K2III,1.300,Oct
5391,NaN,14.451973,-65.821646,277.0083,5.870,-1.342,K3III,1.502,Cir
5401,NaN,14.453392,-46.134254,67.8426,5.830,1.672,Am,0.311,Lup
5406,NaN,14.456774,-6.120332,78.8644,6.180,1.696,A2IV,0.093,Vir
5411,NaN,14.457637,41.024911,77.3994,6.640,2.196,F1IV,0.369,Boo
5430,NaN,14.458758,75.695993,110.0110,4.250,-0.957,K4III,1.431,UMi
5407,NaN,14.469564,-29.491638,120.6273,4.970,-0.437,B7/B8V,-0.074,Hya
5409,NaN,14.470038,-2.227957,36.2582,4.810,2.013,G2III,0.693,Vir
5416,NaN,14.471234,36.197028,259.7403,6.220,-0.853,K0III,1.174,Boo
5414,NaN,14.475385,28.289448,483.0918,7.620,-0.800,A1V,0.000,Boo
5415,NaN,14.475915,28.290528,349.6503,7.120,-0.598,A1V,-0.006,Boo
5420,NaN,14.477197,49.844851,100.0000,5.580,0.580,G3IV,0.864,Boo
5410,NaN,14.478256,-6.900536,191.5709,5.420,-0.992,K5III,1.490,Vir
5403,NaN,14.478750,-59.197548,100000.0000,6.460,-13.540,A0II/III,0.111,Cen
5423,NaN,14.493549,41.795911,23.7417,6.360,4.482,G5V,0.702,Boo
5389,NaN,14.493627,-76.729083,150.8296,6.060,0.168,K0/K1III,1.180,Aps
5422,NaN,14.497131,31.791188,110.1322,6.060,0.850,A0Vs,-0.013,Boo
5418,NaN,14.497366,0.828929,79.3021,5.960,1.464,A5IV,0.159,Vir
5412,NaN,14.502399,-45.321355,146.1988,5.510,-0.315,B8Vn,-0.087,Lup
5413,NaN,14.505823,-49.519018,62.3441,5.380,1.406,A1V,0.056,Lup
5424,NaN,14.512608,4.772286,212.7660,6.010,-0.630,K4III,1.421,Vir
5436,NaN,14.512832,63.185788,31.7864,6.100,3.589,F4IV,0.428,Dra
5417,NaN,14.515728,-40.845122,282.4859,6.390,-0.865,K3III,1.441,Cen
5419,NaN,14.519678,-38.869708,96.6184,5.990,1.065,K1III,1.060,Cen
5408,NaN,14.521224,-67.717197,76.0456,5.840,1.435,K1III,1.006,Cir
5437,NaN,14.528567,60.225636,117.0960,6.260,0.917,F0III,0.243,Dra
5429,NaN,14.530500,30.371437,49.0918,3.570,0.115,K3III,1.298,Boo
5435,NaN,14.534636,38.308253,26.6099,3.040,0.915,A7IIIvar,0.191,Boo
5433,NaN,14.538953,26.677284,73.6377,6.000,1.664,A7Vn,0.230,Boo
5442,NaN,14.541926,55.398010,190.1141,5.740,-0.655,K5III,1.529,Dra
5434,NaN,14.542374,22.260059,54.0249,5.910,2.247,F2IV,0.391,Boo
5421,NaN,14.542524,-56.887715,100000.0000,6.710,-13.290,F5Ia,0.694,Cen
5425,NaN,14.543629,-50.457157,176.3668,4.440,-1.792,B2III,-0.177,Lup
5428,NaN,14.552680,-30.715068,101.2146,6.070,1.044,K0III,1.030,Cen
5441,NaN,14.555630,36.959023,75.0188,6.390,2.014,F8IVw,0.521,Boo
5427,NaN,14.558325,-52.679522,100.3009,5.860,0.853,K0III,1.085,Lup
5426,NaN,14.559004,-54.998628,76.4526,5.860,1.443,F6IV-V,0.482,Lup
5479,NaN,14.560711,79.660427,137.9310,6.270,0.572,K3III,1.315,UMi
5431,NaN,14.568881,-42.099256,252.5253,6.590,-0.422,A2IV,0.078,Cen
5445,NaN,14.569915,32.534477,40.5680,6.320,3.279,F5V,0.450,Boo
5451,NaN,14.571063,57.065258,29.2997,6.460,4.126,F7V,0.526,Dra
5448,NaN,14.577362,36.626064,155.5210,6.020,0.061,K5III,1.379,Boo
5452,NaN,14.577676,49.368354,262.4672,5.740,-1.355,M1III,1.560,Boo
5447,NaN,14.578000,29.745130,15.8328,4.470,3.472,F3Vwvar,0.364,Boo
5438,NaN,14.580758,-20.439381,149.7006,6.490,0.614,A3V,0.139,Lib
5432,NaN,14.588072,-60.015644,171.5266,6.390,0.218,K2III,1.256,Cen
5440,NaN,14.591786,-42.157824,93.7207,2.330,-2.529,B1Vn + A,-0.157,Cen
5439,NaN,14.592079,-41.517436,112.4859,5.880,0.625,B6V,-0.085,Cen
5454,NaN,14.601909,23.250359,116.6861,6.390,1.055,K0,1.063,Boo
5444,NaN,14.605288,-46.245451,214.5923,5.550,-1.108,K3III,1.489,Lup
5446,NaN,14.606698,-39.597407,139.4700,6.130,0.408,K1III,1.048,Cen
5449,NaN,14.612260,-40.211580,147.4926,5.740,-0.104,B8V,-0.112,Cen
5455,NaN,14.616608,-12.305349,32.1750,6.200,3.662,F5V,0.464,Lib
5450,NaN,14.622266,-46.133439,418.4100,5.390,-2.718,K0III,0.927,Lup
5443,NaN,14.629609,-67.932012,27.8940,6.030,3.802,F7V,0.506,Cir
5453,NaN,14.631454,-49.425828,96.8992,4.050,-0.882,B5V,-0.152,Lup
5464,NaN,14.636837,43.642130,276.2431,5.740,-1.466,K2III,1.481,Boo
5462,NaN,14.637219,18.298379,99.0099,5.900,0.922,K2III:,1.099,Boo
