hr,proper,ra,dec,dist,mag,absmag,spect,ci,con
8155,N/A,21.315369,41.040518,617.2840,6.150,-2.802,A5IV,"rgb(239, 184, 0)",Cyg
8164,N/A,21.321025,58.623502,591.7160,5.510,-3.351,B3Vv comp,"rgb(255, 173, 187)",Cep
8157,N/A,21.322828,38.237473,662.2517,5.890,-3.215,F2Ib,"rgb(255, 189, 243)",Cyg
8171,N/A,21.322838,64.871855,609.7561,5.190,-3.736,B3IVe,"rgb(200, 164, 0)",Cep
8161,N/A,21.324652,49.510294,167.2241,5.750,-0.366,B6V,"rgb(187, 156, 0)",Cyg
8148,N/A,21.329351,-26.352880,17.9695,6.560,5.287,G5V,"rgb(255, 183, 220)",Cap
8140,N/A,21.331096,-53.449427,30.2847,4.390,1.984,A5V,"rgb(232, 180, 0)",Ind
8145,N/A,21.335968,-45.021893,581.3953,6.150,-2.672,C5II,"rgb(255, 62, 0)",Ind
8158,N/A,21.337242,22.026186,233.1002,6.290,-0.548,B6IV,"rgb(189, 157, 0)",Vul
8179,N/A,21.342632,60.756405,124.3781,6.110,0.636,G5III,"rgb(255, 176, 196)",Cep
8151,N/A,21.346008,-40.809465,60.4595,4.800,0.893,A2p,"rgb(214, 172, 0)",Mic
8166,N/A,21.347235,32.452221,65.6168,6.450,2.365,G8IV,"rgb(255, 181, 214)",Cyg
8170,N/A,21.350396,40.345066,27.0124,6.390,4.232,F8V,"rgb(255, 188, 240)",Cyg
8165,N/A,21.351217,23.855966,82.9187,5.580,0.987,K1III,"rgb(255, 175, 192)",Peg
8160,N/A,21.351199,-4.560125,90.9091,5.870,1.077,G7III:,"rgb(255, 178, 204)",Aqr
8163,N/A,21.351340,7.354503,200.8032,5.810,-0.704,M2III,"rgb(255, 1, 139)",Equ
8152,N/A,21.354611,-49.938248,110.1322,6.400,1.190,K3III,"rgb(255, 167, 172)",Ind
8169,N/A,21.356094,32.612733,186.5672,6.050,-0.304,A1V,"rgb(218, 173, 0)",Cyg
8185,N/A,21.366780,49.388848,100.9082,5.680,0.660,K0III,"rgb(255, 173, 189)",Cyg
8173,N/A,21.368110,19.804508,47.7783,4.080,0.684,K1III,"rgb(255, 173, 188)",Peg
8167,N/A,21.370776,-16.834542,60.3136,4.280,0.378,G8III,"rgb(255, 179, 206)",Cap
8182,N/A,21.378348,30.309882,112.2334,6.070,0.819,K1III,"rgb(255, 174, 190)",Cyg
8186,N/A,21.379676,38.634275,161.0306,6.630,0.595,A1V,"rgb(214, 172, 0)",Cyg
8178,N/A,21.381559,6.811140,101.4199,5.160,0.129,A3V,"rgb(218, 174, 0)",Equ
8175,N/A,21.382293,-9.319330,224.2152,5.990,-0.763,M0III,"rgb(255, 163, 160)",Aqr
8172,N/A,21.383470,-22.669048,237.5297,5.630,-1.249,M0III,"rgb(255, 0, 144)",Cap
8189,N/A,21.389728,37.406545,98.4252,6.550,1.584,F6II-III,"rgb(255, 189, 243)",Cyg
8193,N/A,21.396775,37.351481,281.6901,6.460,-0.789,K5,"rgb(255, 164, 162)",Cyg
8190,N/A,21.399672,24.274135,51.8135,5.700,2.128,F1IV,"rgb(245, 187, 0)",Vul
8194,N/A,21.402069,25.312423,174.8252,6.200,-0.013,A2V,"rgb(214, 172, 0)",Vul
8184,N/A,21.402202,-22.747101,137.7410,6.380,0.685,K0III,"rgb(255, 175, 195)",Cap
8183,N/A,21.402665,-20.851869,73.3676,5.380,1.052,K0III,"rgb(255, 171, 183)",Cap
